let WebInput = `Nr,Sted,År,Inndeling,Rnr,Region,Fnr,Fylke,Sum of Antall personer 6-15,Sum of Folkemengde,Kunstnertetthet,Kunstnermangfold,SKS tildelinger,Kulturformidling,Kunstnerisk Produksjon,Media,Kommunale Midler,Total Besøk,Betalende Besøk,TONO Arrangemanger,TONO Avregning,Billettselskap Arrangemanger,Billettselskap Omsettning,Filmfremvisninger,Kinobesøk,Mangfold filmframvisniger,Mangfold kinobesøk,Utlån,Besøk,Voksne aktive lånere,Teater Forestillinger,Teater Publikum,Dans Forestillinger,Timer,Mangfold Timer,Elever,Publikum,Mangfold Publikum,Frifond,Riksantikvar og Kulturminnefond,Statsbudsjett og Kulturråd,Historielag,Husflidlag,Kor,Korps,MVA Refusjon,Voksenopplæring
1,Østfold,2012,Fylke,,,1,Østfold,34613,282000,2.4,12,19.6,1.5,1.8,2.1,47,0.3,0,1.9,4.1,2.2,167.6,73.5,2,9,9,4.7,3.3,117.8,0,0,0,1.1,16,0.1,5.2,11,2.4,13.5,8,14.3,3.1,16.4,9.4,5.1,13
1,Østfold,2013,Fylke,,,1,Østfold,34522,284962,2.4,11,20.4,1.5,1.8,1.9,58.3,0.5,0.2,2.6,5.6,2.2,165.9,74.7,2,9,10,4.4,3.1,113.8,0.1,0,0,1.2,16,0.1,5.3,6,3.9,33.9,93,14.2,2.9,15.6,9,7.9,12.9
1,Østfold,2014,Fylke,,,1,Østfold,34625,287198,2.5,12,19.4,1.6,1.8,1.6,49,0.4,0.1,2.6,5.5,2.1,164.6,73,1.8,9,11,4.2,2.8,112.5,0.4,0.1,0.1,1.1,17,0.1,5.1,15,2.4,47.7,99.1,14,3,15.1,9.7,9.6,12.8
1,Østfold,2015,Fylke,,,1,Østfold,35130,289867,2.4,13,17.5,1.4,1.8,1.2,47.1,0.4,0.2,0,0,2.4,175.4,73.4,2,9,10,4.1,3.2,102.2,1,0.2,0.1,1,17,0.1,5.2,9,1.7,33,93.4,12.3,2.8,14.5,9.2,9.4,13.6
2,Akershus,2012,Fylke,,,2,Akershus,77063,566399,4,2,36.7,1.8,2.6,1.6,23.2,0.4,0.1,1.5,3.8,1.7,328.8,77.1,2.2,7,8,4.9,3.6,140.8,0,0,0.1,1.8,16,0.2,5.5,5,3.2,11.4,6.5,11.9,6,14.7,11.1,6.2,11.8
2,Akershus,2013,Fylke,,,2,Akershus,77875,575757,4,2,34.7,1.8,2.8,1.5,23.8,0.6,0.2,2,4.4,1.7,323.5,77.5,2.1,4,7,4.8,3.5,139.3,0,0,0.1,1.8,18,0.2,5.1,7,4.2,16.7,26.5,11.7,6.4,14.1,10.8,9.3,11.7
2,Akershus,2014,Fylke,,,2,Akershus,78997,584899,4.1,2,34.4,1.9,2.6,1.4,22.7,0.9,0.5,2,4.4,1.7,318.4,77.1,2,6,8,4.7,4.2,136.8,0.2,0,0.2,1.8,16,0.1,5.2,11,3.4,23.5,17.8,11.5,6.5,13.9,10.7,10.9,11.5
2,Akershus,2015,Fylke,,,2,Akershus,80197,594533,4,2,34.5,1.5,2.5,1.2,28.4,0.7,0.3,0,0,1.9,250.9,73.4,2.1,12,9,4.4,4.1,129.1,0.1,0,0.1,1.8,16,0.1,4.6,15,2.6,19.4,10.6,6.1,6.5,13.6,10.3,11.7,12.5
3,Oslo,2012,Fylke,,,3,Oslo,60838,623966,11.4,1,169.7,8.9,8.5,18.1,162,1.4,0.5,5.7,33.3,5.2,730.7,64,3.6,8,1,4.4,3.4,115.6,5.5,1.4,0.9,0.4,19,0.1,3.8,18,4.7,3.4,370,3.8,2.2,14.6,9.1,10.4,6.7
3,Oslo,2013,Fylke,,,3,Oslo,62133,634463,11.1,1,175.4,8.8,8.6,17.4,156.9,7,3.7,7.8,33.3,5.1,718.7,51.8,3.3,8,1,4.4,3.3,112.8,5,1.5,1.2,0.4,19,0.1,3.4,18,5.2,5,330.5,3.7,1.7,14.4,9.1,13.7,6.6
